Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Gender,Age
1,Mailed Check,No,Yes,4437,170,8000,1,Month-to-month,No,May,Female,41
2,Bank Transfer,No,Yes,4053,180,6000,5,Month-to-month,No,September,Male,49
3,Bank Transfer,Yes,Yes,8055,90,11000,10,One year,No,March,Male,37
4,Electronic Check,No,Yes,6423,110,13000,7,Month-to-month,No,November,Female,33
5,Electronic Check,No,Yes,2946,160,13000,1,Month-to-month,No,May,Male,27
6,Electronic Check,No,Yes,3762,110,5000,3,Month-to-month,No,July,Male,32
7,Mailed Check,Yes,Yes,787,180,1000,12,One year,No,April,Female,59
8,Electronic Check,No,No,947,170,1000,13,Month-to-month,No,None,Male,30
9,Electronic Check,No,Yes,12393,100,14000,3,Month-to-month,No,May,Male,38
10,Mailed Check,No,No,596,90,1000,12,Month-to-month,No,None,Male,36
11,Electronic Check,Yes,Yes,6548,80,14000,12,One year,No,October,Male,35
12,Mailed Check,Yes,No,4195,130,6000,12,One year,No,None,Female,29
13,Bank Transfer,No,No,606,190,2000,12,Month-to-month,No,None,Male,31
14,Bank Transfer,Yes,Yes,6974,90,7000,12,One year,No,January,Male,34
15,Bank Transfer,Yes,No,833,90,1000,12,Two years,Yes,None,Male,28
16,Mailed Check,No,No,3192,110,4000,12,Month-to-month,No,None,Female,29
17,Electronic Check,No,Yes,1958,140,2000,3,Month-to-month,No,August,Male,32
18,Electronic Check,No,No,709,150,2000,11,Month-to-month,No,None,Male,22
19,Electronic Check,No,Yes,1840,100,7000,1,Month-to-month,No,June,Female,53
20,Electronic Check,No,No,9692,90,14000,11,Month-to-month,No,None,Male,38
21,Electronic Check,No,Yes,8377,180,11000,3,Month-to-month,No,August,Female,24
22,Credit Card,Yes,No,4231,150,13000,11,One year,No,None,Male,36
23,Electronic Check,No,Yes,2385,90,3000,1,Month-to-month,No,June,Female,34
24,Credit Card,No,No,4108,160,7000,11,Month-to-month,No,None,Male,21
25,Credit Card,Yes,No,567,130,1000,11,Two years,Yes,None,Male,34
26,Bank Transfer,No,Yes,9911,120,14000,7,Month-to-month,No,January,Female,53
27,Bank Transfer,Yes,No,6859,90,12000,10,One year,No,None,Female,32
28,Credit Card,Yes,No,2550,180,3000,10,One year,No,None,Male,42
29,Credit Card,Yes,No,1841,80,6000,9,Two years,Yes,None,Female,44
30,Electronic Check,No,No,1145,150,5000,9,Month-to-month,No,None,Female,46
31,Electronic Check,No,No,1344,110,6000,9,Month-to-month,No,None,Male,33
32,Mailed Check,No,No,5722,150,13000,9,Month-to-month,No,None,Male,44
33,Bank Transfer,Yes,No,3845,130,12000,9,One year,No,None,Male,30
34,Bank Transfer,Yes,No,1936,140,2000,9,Two years,Yes,None,Male,39
35,Electronic Check,No,Yes,3725,150,8000,2,Month-to-month,No,August,Male,24
36,Electronic Check,Yes,No,3833,110,6000,9,Two years,Yes,None,Female,43
37,Electronic Check,No,Yes,3408,160,14000,3,Month-to-month,No,August,Male,50
38,Credit Card,Yes,No,2396,180,6000,9,One year,No,None,Female,35
39,Mailed Check,No,No,5911,100,8000,9,Month-to-month,No,None,Female,36
40,Mailed Check,Yes,No,6132,80,10000,9,Two years,Yes,None,Female,33
41,Mailed Check,Yes,No,2342,140,5000,8,Two years,Yes,None,Male,35
42,Credit Card,No,Yes,2060,100,9000,1,Month-to-month,No,October,Female,27
43,Electronic Check,No,Yes,4152,180,6000,3,Month-to-month,No,December,Male,26
44,Bank Transfer,No,Yes,2568,170,3000,5,Month-to-month,No,February,Male,27
45,Mailed Check,Yes,No,2552,150,11000,7,Two years,Yes,None,Female,30
46,Electronic Check,No,No,7527,150,11000,7,Month-to-month,No,None,Female,41
47,Mailed Check,Yes,No,9065,90,10000,6,One year,No,None,Male,34
48,Electronic Check,No,No,904,90,4000,6,Month-to-month,No,None,Male,37
49,Credit Card,No,No,4107,70,11000,6,Month-to-month,No,None,Male,46
50,Credit Card,Yes,No,1912,90,3000,6,Two years,Yes,None,Male,35
51,Bank Transfer,No,No,2927,150,6000,6,Month-to-month,No,None,Male,48
52,Mailed Check,No,No,4792,120,6000,6,Month-to-month,No,None,Male,28
53,Electronic Check,Yes,No,2931,90,4000,6,One year,No,None,Female,44
54,Mailed Check,No,Yes,644,170,1000,2,Month-to-month,No,January,Male,35
55,Credit Card,Yes,No,2591,180,3000,5,One year,No,None,Female,26
56,Electronic Check,No,No,2428,140,4000,5,Month-to-month,No,None,Female,33
57,Credit Card,No,No,5360,170,8000,5,Month-to-month,No,None,Male,35
58,Electronic Check,Yes,No,6299,160,8000,5,Two years,Yes,None,Female,35
59,Electronic Check,No,Yes,5798,120,9000,2,Month-to-month,No,February,Male,31
60,Bank Transfer,Yes,No,4601,80,5000,5,One year,No,None,Male,37
61,Bank Transfer,Yes,No,600,100,1000,5,Two years,Yes,None,Male,32
62,Bank Transfer,No,Yes,5744,150,9000,1,Month-to-month,No,January,Female,38
63,Mailed Check,Yes,No,3320,80,9000,4,Two years,Yes,None,Female,50
64,Credit Card,No,No,4177,130,10000,4,Month-to-month,No,None,Female,59
65,Bank Transfer,No,No,2862,110,10000,4,Month-to-month,No,None,Female,36
66,Electronic Check,No,Yes,3121,190,7000,2,Month-to-month,No,March,Female,55
67,Electronic Check,No,No,623,100,1000,3,Month-to-month,No,None,Male,36
68,Mailed Check,Yes,No,2521,180,6000,3,One year,No,None,Male,45
69,Electronic Check,No,No,6892,180,9000,3,Month-to-month,No,None,Male,35
70,Credit Card,No,No,4673,160,13000,3,Month-to-month,No,None,Male,36
71,Electronic Check,No,No,2157,170,7000,3,Month-to-month,No,None,Female,59
72,Electronic Check,No,Yes,717,190,1000,1,Month-to-month,No,March,Male,29
73,Mailed Check,No,No,2959,160,8000,3,Month-to-month,No,None,Male,31
74,Bank Transfer,No,No,700,150,3000,3,Month-to-month,No,None,Male,32
