Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Profit
1,Mailed Check,No,Yes,4437,1700000,8000,1,Month-to-month,No,May,1583000
2,Bank Transfer,No,Yes,4053,1800000,6000,5,Month-to-month,No,September,832000
3,Bank Transfer,Yes,Yes,8055,900000,11000,10,One year,No,March,550000
4,Electronic Check,No,Yes,6423,1100000,13000,7,Month-to-month,No,November,1018000
5,Electronic Check,No,Yes,2946,1600000,13000,1,Month-to-month,No,May,816000
6,Electronic Check,No,Yes,3762,1100000,5000,3,Month-to-month,No,July,1032000
7,Mailed Check,Yes,Yes,787,1800000,1000,12,One year,No,April,1142000
8,Electronic Check,No,No,947,1700000,1000,13,Month-to-month,No,None,774000
9,Electronic Check,No,Yes,12393,1000000,14000,3,Month-to-month,No,May,937000
10,Mailed Check,No,No,596,900000,1000,12,Month-to-month,No,None,833000
11,Electronic Check,Yes,Yes,6548,800000,14000,12,One year,No,October,248000
12,Mailed Check,Yes,No,4195,1300000,6000,12,One year,No,None,1191000
13,Bank Transfer,No,No,606,1900000,2000,12,Month-to-month,No,None,1145000
14,Bank Transfer,Yes,Yes,6974,900000,7000,12,One year,No,January,314000
15,Bank Transfer,Yes,No,833,900000,1000,12,Two years,Yes,None,818000
16,Mailed Check,No,No,3192,1100000,4000,12,Month-to-month,No,None,998000
17,Electronic Check,No,Yes,1958,1400000,2000,3,Month-to-month,No,August,1175000
18,Electronic Check,No,No,709,1500000,2000,11,Month-to-month,No,None,1385000
19,Electronic Check,No,Yes,1840,1000000,7000,1,Month-to-month,No,June,944000
20,Electronic Check,No,No,9692,900000,14000,11,Month-to-month,No,None,757000
21,Electronic Check,No,Yes,8377,1800000,11000,3,Month-to-month,No,August,1683000
22,Credit Card,Yes,No,4231,1500000,13000,11,One year,No,None,627000
23,Electronic Check,No,Yes,2385,900000,3000,1,Month-to-month,No,June,303000
24,Credit Card,No,No,4108,1600000,7000,11,Month-to-month,No,None,761000
25,Credit Card,Yes,No,567,1300000,1000,11,Two years,Yes,None,1226000
26,Bank Transfer,No,Yes,9911,1200000,14000,7,Month-to-month,No,January,525000
27,Bank Transfer,Yes,No,6859,900000,12000,10,One year,No,None,820000
28,Credit Card,Yes,No,2550,1800000,3000,10,One year,No,None,1279000
29,Credit Card,Yes,No,1841,800000,6000,9,Two years,Yes,None,355000
30,Electronic Check,No,No,1145,1500000,5000,9,Month-to-month,No,None,1356000
31,Electronic Check,No,No,1344,1100000,6000,9,Month-to-month,No,None,1003000
32,Mailed Check,No,No,5722,1500000,13000,9,Month-to-month,No,None,521000
33,Bank Transfer,Yes,No,3845,1300000,12000,9,One year,No,None,745000
34,Bank Transfer,Yes,No,1936,1400000,2000,9,Two years,Yes,None,543000
35,Electronic Check,No,Yes,3725,1500000,8000,2,Month-to-month,No,August,1362000
36,Electronic Check,Yes,No,3833,1100000,6000,9,Two years,Yes,None,517000
37,Electronic Check,No,Yes,3408,1600000,14000,3,Month-to-month,No,August,477000
38,Credit Card,Yes,No,2396,1800000,6000,9,One year,No,None,853000
39,Mailed Check,No,No,5911,1000000,8000,9,Month-to-month,No,None,907000
40,Mailed Check,Yes,No,6132,800000,10000,9,Two years,Yes,None,721000
41,Mailed Check,Yes,No,2342,1400000,5000,8,Two years,Yes,None,738000
42,Credit Card,No,Yes,2060,1000000,9000,1,Month-to-month,No,October,903000
43,Electronic Check,No,Yes,4152,1800000,6000,3,Month-to-month,No,December,1710000
44,Bank Transfer,No,Yes,2568,1700000,3000,5,Month-to-month,No,February,1569000
45,Mailed Check,Yes,No,2552,1500000,11000,7,Two years,Yes,None,1385000
46,Electronic Check,No,No,7527,1500000,11000,7,Month-to-month,No,None,509000
47,Mailed Check,Yes,No,9065,900000,10000,6,One year,No,None,838000
48,Electronic Check,No,No,904,900000,4000,6,Month-to-month,No,None,812000
49,Credit Card,No,No,4107,700000,11000,6,Month-to-month,No,None,551000
