PaperlessBilling,MultipleLines,Set,gender,InternetService,SeniorCitizen,MonthlyCharges,TotalCharges,tenure,Churn,Contract,customerID,Dependents,DeviceProtection,OnlineBackup,OnlineSecurity,Partner,PaymentMethod,PhoneService,StreamingMovies,StreamingTV,TechSupport
Yes,No phone service,Test,Female,DSL,0,29.85,29.85,1,No,Month-to-month,7590-VHVEG,No,No,Yes,No,Yes,Electronic check,No,No,No,No
No,No,Test,Male,DSL,0,56.95,1889.50,34,No,One year,5575-GNVDE,No,Yes,No,Yes,No,Mailed check,Yes,No,No,No
Yes,No,Test,Male,DSL,0,53.85,108.15,2,Yes,Month-to-month,3668-QPYBK,No,No,Yes,Yes,No,Mailed check,Yes,No,No,No
No,No phone service,Train,Male,DSL,0,42.30,1840.75,45,No,One year,7795-CFOCW,No,Yes,No,Yes,No,Bank transfer (automatic),No,No,No,Yes
Yes,No,Train,Female,Fiber optic,0,70.70,151.65,2,Yes,Month-to-month,9237-HQITU,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Test,Female,Fiber optic,0,99.65,820.50,8,Yes,Month-to-month,9305-CDSKC,No,Yes,No,No,No,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Test,Male,Fiber optic,0,89.10,1949.40,22,No,Month-to-month,1452-KIOVK,Yes,No,Yes,No,No,Credit card (automatic),Yes,No,Yes,No
No,No phone service,Train,Female,DSL,0,29.75,301.90,10,No,Month-to-month,6713-OKOMC,No,No,No,Yes,No,Mailed check,No,No,No,No
Yes,Yes,Train,Female,Fiber optic,0,104.80,3046.05,28,Yes,Month-to-month,7892-POOKP,No,Yes,No,No,Yes,Electronic check,Yes,Yes,Yes,Yes
No,No,Train,Male,DSL,0,56.15,3487.95,62,No,One year,6388-TABGU,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,No
Yes,No,Train,Male,DSL,0,49.95,587.45,13,No,Month-to-month,9763-GRSKD,Yes,No,No,Yes,Yes,Mailed check,Yes,No,No,No
No,No,Train,Male,No,0,18.95,326.80,16,No,Two year,7469-LKBCI,No,No internet service,No internet service,No internet service,No,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,Fiber optic,0,100.35,5681.10,58,No,One year,8091-TTVAX,No,Yes,No,No,Yes,Credit card (automatic),Yes,Yes,Yes,No
Yes,Yes,Test,Male,Fiber optic,0,103.70,5036.30,49,Yes,Month-to-month,0280-XJGEX,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,Yes,Yes,No
