Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,Website,PhotoUrl,Industry,AnnualRevenue,NumberOfEmployees,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsCustomerPortal,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,Contract__c,Maintenance__c,Tenure__c,Insurance__c,Payment_Method__c,Points__c,Monthly_Charges__c,Gender__c,Age__c
0013F00000oM7VsQAK,,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013F00000oM7VsQAK,,,,,0053F00000D3CCNQA3,2023-04-04T10:42:49.000+0000,0053F00000D31WoQAJ,2023-04-06T22:17:29.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,,,,,,,,,,,,,,,,,
0013F00000oOtyGQAS,,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013F00000oOtyGQAS,,,,,0053F00000D3CCPQA3,2023-04-06T22:16:13.000+0000,0053F00000D31WiQAJ,2023-04-06T22:16:33.000+0000,0053F00000D31WiQAJ,2023-04-06T22:16:33.000+0000,,2023-04-11T19:10:54.000+0000,2023-04-11T19:10:54.000+0000,,,,,,,,,,,,,,
0013F00000oPFPOQA4,,,Morgan Freeman,,,7500 Hollywood Dr,Los Angeles,CA,90210,,,,,"{""city"":""Los Angeles"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90210"",""state"":""CA"",""street"":""7500 Hollywood Dr""}",7500 Hollywood Dr,Los Angeles,CA,90210,,,,,"{""city"":""Los Angeles"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90210"",""state"":""CA"",""street"":""7500 Hollywood Dr""}",212-503-6748,,,/services/images/photo/0013F00000oPFPOQA4,,,,,0053F00000D31WiQAJ,2023-04-07T20:05:16.000+0000,0053F00000D31WiQAJ,2023-04-07T20:28:53.000+0000,0053F00000D31WiQAJ,2023-04-07T20:28:53.000+0000,,2023-04-11T19:09:16.000+0000,2023-04-11T19:09:16.000+0000,,,,,,Month-to-month,No,12,No,Mailed Check,3000,90,Male,60
0013F00000oUyLzQAK,,,Superior Gear Box,Corporate,,96159 Sanchez Route,Matthewbury,NV,,USA,,,,"{""city"":""Matthewbury"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NV"",""street"":""96159 Sanchez Route""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyLzQAK,Technology,9149000,117,,0053F00000D3CCPQA3,2023-04-05T12:19:46.000+0000,0053F00000D31WiQAJ,2023-04-06T22:18:01.000+0000,0053F00000D31WiQAJ,2023-04-06T22:18:01.000+0000,,,,,,,Social Media,,,,,,,,,,
0013F00000oUyO5QAK,,,"Worldwide Media Capital,LLC",Corporate,,15015 Kenneth Row,North Stephenfurt,NJ,,USA,,,,"{""city"":""North Stephenfurt"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NJ"",""street"":""15015 Kenneth Row""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyO5QAK,Apparel,9283000,200,,0053F00000D3CCNQA3,2023-04-05T12:20:03.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:09.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:09.000+0000,2023-03-24,,,,,,Inbound Call,,,,,,,,,,
0013F00000oUyOMQA0,,,Surgical Information Systems,Corporate,,8154 Tyler Brooks,Nicolefurt,NJ,,USA,,,,"{""city"":""Nicolefurt"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NJ"",""street"":""8154 Tyler Brooks""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyOMQA0,Recreation,3874000,79,,0053F00000D3CCPQA3,2023-04-05T12:19:51.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,,,,,,,Partner,,,,,,,,,,
0013F00000oUyONQA0,,,Bright & Assoc Inc,Corporate,,6516 Charles View,Meganberg,PA,,USA,,,,"{""city"":""Meganberg"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""PA"",""street"":""6516 Charles View""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyONQA0,Insurance,4350000,81,,0053F00000D3CCOQA3,2023-04-05T12:19:51.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,2023-02-28,,,,,,Inbound Call,,,,,,,,,,
0013F00000oUyOOQA0,,,Why Web Internet Services,Corporate,,6823 Thompson Rapid,West Nathan,MD,,USA,,,,"{""city"":""West Nathan"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""MD"",""street"":""6823 Thompson Rapid""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyOOQA0,Utilities,2047000,55,,0053F00000D3CCNQA3,2023-04-05T12:19:51.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,2023-02-05,,,,,,Social Media,,,,,,,,,,
0013F00000oUyOPQA0,,,Lexisnexis Group,Corporate,,4073 David Motorway,Alfredmouth,NH,,USA,,,,"{""city"":""Alfredmouth"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NH"",""street"":""4073 David Motorway""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyOPQA0,Environmental,8828000,113,,0053F00000D3CCNQA3,2023-04-05T12:19:51.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,0053F00000D31WiQAJ,2023-04-06T22:17:29.000+0000,2023-03-05,,,,,,Partner,,,,,,,,,,
0013F00000oUyQWQA0,,,Resourcesoft,Corporate,,64274 Evans Lane,East Scott,HI,,USA,,,,"{""city"":""East Scott"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""HI"",""street"":""64274 Evans Lane""}",,,,,,,,,,,,,/services/images/photo/0013F00000oUyQWQA0,Entertainment,7271000,226,,0053F00000D3CCPQA3,2023-04-05T12:19:32.000+0000,0053F00000D31WiQAJ,2023-04-06T22:18:07.000+0000,0053F00000D31WiQAJ,2023-04-06T22:18:07.000+0000,2023-03-04,,,,,,Social Media,,,,,,,,,,
