Id,WhoId,WhatId,WhoCount,WhatCount,Subject,ActivityDate,Status,Priority,IsHighPriority,OwnerId,Description,Type,IsDeleted,AccountId,IsClosed,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,CallDurationInSeconds,CallType,CallDisposition,CallObject,ReminderDateTime,IsReminderSet,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateOnly,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,RecurrenceRegeneratedType,TaskSubtype,DB_Days__c,external_id__c
00T8c00003S69UIEAZ,0038c00002jgbCwAAI,0018c00002GzxPDAAZ,1,1,Discovery call,2021-07-29,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,5,Task.004
00T8c00003S69ULEAZ,0038c00002jgbCrAAI,0018c00002GzxPDAAZ,1,1,Review Case,2021-07-27,Not Started,High,1,0058c00000BxzHhAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,Task.012
00T8c00003S69UQEAZ,00Q8c0000113yK9EAI,,1,0,New Lead Assigned to you. Follow up within 24 Hours,2021-07-24,Not Started,High,1,0058c00000BxzHjAAJ,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,0,
00T8c00003S69UREAZ,00Q8c0000113yKAEAY,,1,0,New Lead Assigned to you. Follow up within 24 Hours,2021-07-24,Not Started,High,1,0058c00000BxzHjAAJ,A new lead has been assigned to you please follow-up within 24 hours.,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,0,
00T8c00003S69UVEAZ,00Q8c0000113yK3EAI,,1,0,Follow up with Lead,2021-08-07,Not Started,Normal,,0058c00000BxzHjAAJ,Please follow up on lead.,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,14,
00T8c00003S69UcEAJ,0038c00002jgbCxAAI,0018c00002GzxPcAAJ,1,1,Send out pricing proposal,2021-07-29,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPcAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,5,
00T8c00003S69UjEAJ,0038c00002jgbD1AAI,0018c00002GzxPxAAJ,1,1,Follow up,2021-07-31,Not Started,Normal,,0058c00000BxzHhAAJ,check results from solution,,,0018c00002GzxPxAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,7,
00T8c00003S69UwEAJ,0038c00002jgbClAAI,0018c00002GzxPAAAZ,1,1,Support Call with: James Davie*,2021-07-24,In Progress,High,1,0058c00000BxzHhAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,0,
00T8c00003S69VJEAZ,0038c00002jgbChAAI,0018c00002GzxPAAAZ,1,1,Client Call - Attempt,2021-07-24,In Progress,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,0,
00T8c00003S69VNEAZ,0038c00002jgbCiAAI,0018c00002GzxPBAAZ,1,1,Go over Updated Sales Presentation,,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPBAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,8,
00T8c00003S69VVEAZ,0038c00002jgbDHAAY,0018c00002GzxPBAAZ,1,1,Lead Follow Up - Tradeshow,2021-07-31,Not Started,Normal,,0058c00000BxzHkAAJ,Follow Up with Adam about potential leads from their most recent tradeshow.,,,0018c00002GzxPBAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,7,
00T8c00003S69VaEAJ,0038c00002jgbDIAAY,0018c00002GzxQ7AAJ,1,1,Deal Discussion,2021-08-04,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxQ7AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69VbEAJ,0038c00002jgbDIAAY,0018c00002GzxQ7AAJ,1,1,Follow up to my message,2021-08-02,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxQ7AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,9,
00T8c00003S69VdEAJ,,0018c00002GzxPAAAZ,0,1,Manager deal update,2021-07-26,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,2,Task.001
00T8c00003S69VeEAJ,,0018c00002GzxPDAAZ,0,1,Follow up to my message,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,Task.013
00T8c00003S69VgEAJ,,0018c00002GzxQ8AAJ,0,1,Send new pricing,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ8AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,Task.002
00T8c00003S69VhEAJ,,0018c00002GzxPDAAZ,0,1,Follow up on status,2021-07-25,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,1,Task.011
00T8c00003S69VkEAJ,,0018c00002GzxPRAAZ,0,1,Sales Presentation Follow Up,2021-08-06,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69VlEAJ,,0018c00002GzxPXAAZ,0,1,Manager deal update,2021-08-06,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPXAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69VnEAJ,,0018c00002GzxPRAAZ,0,1,Needs document from Prospect,2021-08-04,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69VqEAJ,,0018c00002GzxPRAAZ,0,1,Needs list from Prospect,2021-08-02,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,9,
00T8c00003S69VrEAJ,,0018c00002GzxPRAAZ,0,1,Product demo with team,2021-08-21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,28,
00T8c00003S69VsEAJ,,0018c00002GzxPRAAZ,0,1,Sales Presentation Today,2021-08-04,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69VtEAJ,,0018c00002GzxPQAAZ,0,1,Send Thank You,2021-08-03,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,10,
00T8c00003S69VuEAJ,,0018c00002GzxPRAAZ,0,1,Notes from discussion,2021-08-25,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,32,
00T8c00003S69VvEAJ,,0018c00002GzxPRAAZ,0,1,Prep Sales Presentation,2021-08-19,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,26,
