External_Id__c,Account.External_Id__c,Opportunity.External_Id__c,Owner.External_Id__c,ACTIVITYDATE,EVENTSUBTYPE,SUBJECT,TYPE
W_Event.1,W_Account.1204,W_Opportunity.25247,W_Sales_User.1,2022-03-22,Event,Project Planning Meeting,Call
W_Event.2,W_Account.341,W_Opportunity.8658,W_Sales_User.1,2022-03-22,Event,Optos Inc.,Meeting
W_Event.3,W_Account.4588,W_Opportunity.64407,W_Sales_User.10,2022-03-22,Event,Heath Axworth,Call
W_Event.4,W_Account.5769,W_Opportunity.74795,W_Sales_User.16,2022-03-22,Event,Deanna Collins,Call
W_Event.5,W_Account.6827,W_Opportunity.3164,W_Sales_User.10,2022-03-22,Event,Russell Hartman,Call
W_Event.6,W_Account.5411,W_Opportunity.71671,W_Sales_User.10,2022-03-22,Event,Towson Inc.,Call
W_Event.7,W_Account.6905,W_Opportunity.47152,W_Sales_User.16,2022-03-27,Event,Meeting with Decision Makers,Meeting
W_Event.8,W_Account.1662,W_Opportunity.29354,W_Sales_User.10,2022-03-24,Event,Discovery Meeting,Meeting
W_Event.9,W_Account.6797,W_Opportunity.69309,W_Sales_User.16,2022-03-24,Event,Quarterly Review,Meeting
W_Event.10,W_Account.1957,W_Opportunity.31997,W_Sales_User.10,2022-03-23,Event,Investigate Open Case,Other
W_Event.11,W_Account.546,W_Opportunity.13449,W_Sales_User.10,2022-03-24,Event,Account Planning,Meeting
W_Event.12,W_Account.5171,W_Opportunity.69610,W_Sales_User.17,2022-03-25,Event,Account Planning,Meeting
W_Event.13,W_Account.5196,W_Opportunity.69806,W_Sales_User.17,2021-05-23,Event,Review Final Presentation,Meeting
W_Event.14,W_Account.6797,W_Opportunity.69309,W_Sales_User.16,2022-03-22,Event,Develop Mutual Plan Document,Meeting
W_Event.15,W_Account.5522,W_Opportunity.72630,W_Sales_User.10,2022-03-22,Event,Breakfast with CFO,Meeting
W_Event.16,W_Account.4538,W_Opportunity.63999,W_Sales_User.10,2022-03-17,Event,Meeting w/ VP Sales,Meeting
W_Event.17,W_Account.1532,W_Opportunity.28246,W_Sales_User.10,2022-03-23,Event,Account Review,Meeting
W_Event.18,W_Account.518,W_Opportunity.12651,W_Sales_User.10,2022-02-13,Event,Training Class,Meeting
W_Event.19,W_Account.4803,W_Opportunity.66342,W_Sales_User.10,2022-02-13,Event,Training Class,Meeting
W_Event.20,W_Account.2857,W_Opportunity.39763,W_Sales_User.1,2022-01-26,Event,Training,Meeting
W_Event.21,W_Account.1258,W_Opportunity.25758,W_Sales_User.10,2022-02-14,Event,Training,Meeting
W_Event.22,W_Account.1006,W_Opportunity.23440,W_Sales_User.10,2022-02-19,Event,Customer Briefing,Meeting
W_Event.23,W_Account.2559,W_Opportunity.37205,W_Sales_User.10,2021-06-21,Event,Manager Off-Site,Meeting
W_Event.24,W_Account.1140,W_Opportunity.24621,W_Sales_User.10,2021-06-06,Event,Manager Off-Site,Meeting
W_Event.25,W_Account.1707,W_Opportunity.29737,W_Sales_User.1,2021-06-06,Event,Executive Offsite,Meeting
W_Event.26,W_Account.670,W_Opportunity.16400,W_Sales_User.1,2022-03-22,Event,Deal Review,Meeting
W_Event.27,W_Account.4254,W_Opportunity.61408,W_Sales_User.17,2022-03-27,Event,Team Meeting,Meeting
W_Event.28,W_Account.4968,W_Opportunity.67904,W_Sales_User.10,2022-03-24,Event,Customer Progress Check-In,Call
W_Event.29,W_Account.3691,W_Opportunity.49946,W_Sales_User.16,2022-03-25,Event,Coaching 1:1,Call
W_Event.30,W_Account.6858,W_Opportunity.12172,W_Sales_User.1,2022-03-30,Event,Pipeline 1:1,Call
W_Event.31,W_Account.1721,W_Opportunity.29871,W_Sales_User.1,2022-03-23,Event,Confirming Final Contract Details,Call
W_Event.32,W_Account.4478,W_Opportunity.63386,W_Sales_User.10,2022-03-29,Event,Next 1:1 with Linda,Call
W_Event.33,W_Account.7585,W_Opportunity.10179,W_Sales_User.10,2022-03-29,Event,Next 1:1 with Ted,Call
W_Event.34,W_Account.5909,W_Opportunity.76364,W_Sales_User.17,2022-03-22,Event,Next 1:1,Call
W_Event.35,W_Account.4713,W_Opportunity.65526,W_Sales_User.16,2022-03-22,Event,Pipeline 1:1,Call
W_Event.36,W_Account.7900,W_Opportunity.12357,W_Sales_User.1,2022-03-22,Event,Weekly team meeting,Meeting
W_Event.37,W_Account.2110,W_Opportunity.33428,W_Sales_User.1,2022-03-22,Event,Discovery and qualification call,Meeting
W_Event.38,W_Account.3554,W_Opportunity.46917,W_Sales_User.10,2022-03-30,Event,Onsite customer workshop,Meeting
W_Event.39,W_Account.7213,W_Opportunity.11660,W_Sales_User.1,2022-03-23,Event,Mobile Best Practices Session,Meeting
W_Event.40,W_Account.67,W_Opportunity.1761,W_Sales_User.1,2022-03-23,Event,Pipeline Review,Meeting
W_Event.41,W_Account.822,W_Opportunity.19993,W_Sales_User.1,2022-03-23,Event,Board presentation run-through,Meeting
W_Event.42,W_Account.5790,W_Opportunity.74991,W_Sales_User.17,2022-03-23,Event,Closing Meeting,Meeting
W_Event.43,W_Account.4132,W_Opportunity.59279,W_Sales_User.16,2022-03-25,Event,Territory Plan Review,Call
W_Event.44,W_Account.2691,W_Opportunity.38295,W_Sales_User.1,2022-03-29,Event,Close plan review with customer,Meeting
W_Event.45,W_Account.4235,W_Opportunity.61125,W_Sales_User.10,2022-04-05,Event,Project stakeholder update,Meeting
W_Event.46,W_Account.2012,W_Opportunity.32518,W_Sales_User.1,2022-03-27,Event,Internal team strategy meeting,Meeting
W_Event.47,W_Account.1006,W_Opportunity.23440,W_Sales_User.10,2022-03-25,Event,Discovery call,Call
W_Event.48,W_Account.6490,W_Opportunity.42835,W_Sales_User.10,2022-03-28,Event,Post-meeting follow-up,Call
W_Event.49,W_Account.287,W_Opportunity.7213,W_Sales_User.10,2022-04-03,Event,Discovery meeting with key executives,Meeting
W_Event.50,W_Account.6732,W_Opportunity.41815,W_Sales_User.1,2022-03-29,Event,Call with Director of Marketing,Call
W_Event.51,W_Account.5586,W_Opportunity.73288,W_Sales_User.10,2022-04-01,Event,Demonstration to Board of Directors,Meeting
W_Event.52,W_Account.466,W_Opportunity.11407,W_Sales_User.10,2022-03-25,Event,Discovery Call with Customer,Meeting
W_Event.53,W_Account.5851,W_Opportunity.75626,W_Sales_User.16,2022-03-24,Event,Discovery Meeting with CIO,Meeting
W_Event.54,W_Account.45,W_Opportunity.1124,W_Sales_User.1,2022-03-18,Event,Executive Lunch Meeting,Meeting
W_Event.55,W_Account.287,W_Opportunity.7205,W_Sales_User.1,2022-03-18,Event,Account Strategy Meeting,Meeting
W_Event.56,W_Account.7242,W_Opportunity.17223,W_Sales_User.10,2022-03-13,Event,Discovery Meeting,Meeting
W_Event.57,W_Account.5404,W_Opportunity.71612,W_Sales_User.10,2022-03-14,Event,Team Best Practices Sharing,Meeting
W_Event.58,W_Account.1487,W_Opportunity.27790,W_Sales_User.10,2022-03-19,Event,Team Best Practices Sharing,Meeting
W_Event.59,W_Account.6851,W_Opportunity.9985,W_Sales_User.1,2022-03-22,Event,Follow up Meeting,Meeting
W_Event.60,W_Account.4716,W_Opportunity.65569,W_Sales_User.10,2022-03-23,Event,Discovery Meeting,Meeting
W_Event.61,W_Account.1369,W_Opportunity.26797,W_Sales_User.10,2022-03-23,Event,Account Strategy Meeting,Meeting
W_Event.62,W_Account.7357,W_Opportunity.3628,W_Sales_User.1,2022-03-25,Event,Discovery Call with Customer,Meeting
W_Event.63,W_Account.6972,W_Opportunity.19,W_Sales_User.1,2022-03-16,Event,Executive Lunch Meeting,Meeting
W_Event.64,W_Account.3152,W_Opportunity.42628,W_Sales_User.10,2022-03-23,Event,Team Best Practices Sharing,Meeting
W_Event.65,W_Account.617,W_Opportunity.15244,W_Sales_User.1,2022-03-18,Event,Team Best Practices Sharing,Meeting
W_Event.66,W_Account.5830,W_Opportunity.75390,W_Sales_User.16,2022-03-24,Event,Discovery Meeting with CIO,Meeting
W_Event.67,W_Account.7195,W_Opportunity.5861,W_Sales_User.10,2022-03-23,Event,Discovery Meeting,Meeting
W_Event.68,W_Account.5331,W_Opportunity.70921,W_Sales_User.17,2022-03-20,Event,Account Strategy Meeting,Meeting
W_Event.69,W_Account.4936,W_Opportunity.67605,W_Sales_User.10,2022-03-25,Event,Discovery Call with Customer,Meeting
W_Event.70,W_Account.6934,W_Opportunity.54368,W_Sales_User.10,2022-03-24,Event,Executive Lunch Meeting,Meeting
W_Event.71,W_Account.2984,W_Opportunity.40967,W_Sales_User.10,2022-03-20,Event,Team Best Practices Sharing,Meeting
W_Event.72,W_Account.5317,W_Opportunity.70810,W_Sales_User.16,2022-03-16,Event,Team Best Practices Sharing,Meeting
W_Event.73,W_Account.5322,W_Opportunity.70852,W_Sales_User.10,2022-03-24,Event,Discovery Meeting with CIO,Meeting
W_Event.74,W_Account.6623,W_Opportunity.23919,W_Sales_User.10,2022-03-02,Event,Lunch Meeting,Meeting
W_Event.75,W_Account.7833,W_Opportunity.50720,W_Sales_User.17,2022-02-10,Event,Prospecting First Call,Call
W_Event.76,W_Account.6737,W_Opportunity.43151,W_Sales_User.10,2022-02-04,Event,Prospecting First Call,Meeting
W_Event.77,W_Account.180,W_Opportunity.4509,W_Sales_User.1,2022-02-15,Event,Account Health Check,Meeting
W_Event.78,W_Account.3921,W_Opportunity.54929,W_Sales_User.10,2022-03-05,Event,Account Planning Meeting,Meeting
W_Event.79,W_Account.2668,W_Opportunity.38124,W_Sales_User.10,2022-02-14,Event,Account Review,Meeting
W_Event.80,W_Account.8116,W_Opportunity.48515,W_Sales_User.17,2022-02-06,Event,Account Review Call,Meeting
W_Event.81,W_Account.2992,W_Opportunity.41042,W_Sales_User.1,2022-02-02,Event,Approve Ad Designs,Meeting
W_Event.82,W_Account.2504,W_Opportunity.36695,W_Sales_User.1,2022-02-05,Event,Approve Menus for Executive Lunch,Call
W_Event.83,W_Account.6396,W_Opportunity.75404,W_Sales_User.17,2022-02-15,Event,Arrange Travel for Guest Speaker,Prep
W_Event.84,W_Account.1821,W_Opportunity.30791,W_Sales_User.1,2022-02-22,Event,Assess RFO Response,Other
W_Event.85,W_Account.88,W_Opportunity.2352,W_Sales_User.1,2022-02-08,Event,Build Slides for Presentation,Call
W_Event.86,W_Account.4758,W_Opportunity.65934,W_Sales_User.16,2022-02-08,Event,Call Customer for Update,Call
W_Event.87,W_Account.3287,W_Opportunity.43747,W_Sales_User.1,2022-02-14,Event,Call with Decision Maker,Prep
W_Event.88,W_Account.3493,W_Opportunity.45686,W_Sales_User.1,2022-02-19,Event,Call with Director of Operations,Meeting
W_Event.89,W_Account.1111,W_Opportunity.24377,W_Sales_User.10,2022-02-14,Event,Call with Director of Sales,Meeting
W_Event.90,W_Account.1080,W_Opportunity.24120,W_Sales_User.10,2022-03-21,Event,Channel Account Planning,Meeting
W_Event.91,W_Account.6211,W_Opportunity.68828,W_Sales_User.17,2022-03-13,Event,Check in with Customer,Call
W_Event.92,W_Account.5065,W_Opportunity.68757,W_Sales_User.10,2022-03-04,Event,Cold Call to Director of Operations,Meeting
W_Event.93,W_Account.3488,W_Opportunity.45642,W_Sales_User.1,2022-03-07,Event,Cold Call with Prospect,Meeting
W_Event.94,W_Account.6920,W_Opportunity.49948,W_Sales_User.16,2022-02-18,Event,Competitive Research,Meeting
W_Event.95,W_Account.5833,W_Opportunity.75442,W_Sales_User.17,2022-02-04,Event,Conference Call,Meeting
W_Event.96,W_Account.7930,W_Opportunity.52024,W_Sales_User.16,2022-03-20,Event,Conference Call - Marketing Team,Meeting
W_Event.97,W_Account.287,W_Opportunity.7205,W_Sales_User.1,2022-03-10,Event,Conference Call with Board of Directors,Call
W_Event.98,W_Account.5146,W_Opportunity.69400,W_Sales_User.16,2022-03-19,Event,Conference Call with Key Stakeholders,Prep
W_Event.99,W_Account.7849,W_Opportunity.55956,W_Sales_User.16,2022-02-10,Event,Customer Meeting,Call
W_Event.100,W_Account.5187,W_Opportunity.69746,W_Sales_User.10,2022-02-18,Event,Deal Discussion with Team,Call
W_Event.101,W_Account.5405,W_Opportunity.71618,W_Sales_User.10,2022-02-15,Event,Define Customer Journey,Call
W_Event.102,W_Account.437,W_Opportunity.10731,W_Sales_User.10,2022-03-01,Event,Demo for the Sales Team,Call
W_Event.103,W_Account.6955,W_Opportunity.60168,W_Sales_User.10,2022-02-13,Event,Demo to the Marketing Team,Prep
W_Event.104,W_Account.2857,W_Opportunity.39763,W_Sales_User.1,2022-02-12,Event,Demonstration to Project Team,Meeting
W_Event.105,W_Account.4543,W_Opportunity.64061,W_Sales_User.10,2022-02-13,Event,Develop Content for Webinar,Meeting
W_Event.106,W_Account.7025,W_Opportunity.11635,W_Sales_User.1,2022-02-20,Event,Develop Outbound Call Script and Offers,Meeting
W_Event.107,W_Account.2855,W_Opportunity.39741,W_Sales_User.10,2022-02-23,Event,Discovery Call with Customer,Call
W_Event.108,W_Account.7945,W_Opportunity.61150,W_Sales_User.17,2022-03-16,Event,Discovery Meeting Request,Call
W_Event.109,W_Account.2184,W_Opportunity.34050,W_Sales_User.10,2022-02-26,Event,Discuss Competitive Landscape,Meeting
W_Event.110,W_Account.4537,W_Opportunity.63933,W_Sales_User.16,2022-02-18,Event,Discuss Next Steps,Meeting
W_Event.111,W_Account.5569,W_Opportunity.73167,W_Sales_User.17,2022-02-25,Event,Discuss Outcome of Meeting,Meeting
W_Event.112,W_Account.5790,W_Opportunity.74991,W_Sales_User.17,2022-03-07,Event,Discuss Potential New Package,Meeting
W_Event.113,W_Account.112,W_Opportunity.2903,W_Sales_User.1,2022-03-15,Event,Discuss Requirements with CIO,Meeting
W_Event.114,W_Account.3152,W_Opportunity.42627,W_Sales_User.1,2022-02-10,Event,Discuss Revised Quote,Meeting
W_Event.115,W_Account.1903,W_Opportunity.31584,W_Sales_User.10,2022-03-06,Event,Engage Featured Speaker for Webinar,Call
W_Event.116,W_Account.2735,W_Opportunity.38645,W_Sales_User.10,2022-03-03,Event,Executive Breakfast,Prep
W_Event.117,W_Account.7939,W_Opportunity.58355,W_Sales_User.10,2022-03-17,Event,Finalize RFP,Other
W_Event.118,W_Account.3090,W_Opportunity.42025,W_Sales_User.1,2022-03-04,Event,Finalize RFP Response,Call
W_Event.119,W_Account.7204,W_Opportunity.8933,W_Sales_User.1,2022-02-27,Event,Follow Up with Customer,Call
W_Event.120,W_Account.1009,W_Opportunity.23480,W_Sales_User.10,2022-03-15,Event,Follow-up email,Call
W_Event.121,W_Account.4908,W_Opportunity.67354,W_Sales_User.10,2022-02-11,Event,Generate Quote,Call
W_Event.122,W_Account.2827,W_Opportunity.39499,W_Sales_User.1,2022-03-15,Event,Generate Quote with T&C's,Prep
W_Event.123,W_Account.5943,W_Opportunity.76664,W_Sales_User.10,2022-02-10,Event,Identify Competitors,Meeting
W_Event.124,W_Account.2601,W_Opportunity.37541,W_Sales_User.1,2022-03-11,Event,Identify Referrrals,Meeting
W_Event.125,W_Account.4602,W_Opportunity.64547,W_Sales_User.10,2022-02-15,Event,Initial Call,Meeting
W_Event.126,W_Account.6687,W_Opportunity.35716,W_Sales_User.1,2022-02-24,Event,Internal Deal Discussion,Call
W_Event.127,W_Account.4369,W_Opportunity.62378,W_Sales_User.10,2022-03-06,Event,Internal: Review Pricing Structure,Call
W_Event.128,W_Account.903,W_Opportunity.21771,W_Sales_User.10,2022-02-12,Event,Introductory Call,Meeting
W_Event.129,W_Account.6950,W_Opportunity.58763,W_Sales_User.17,2022-03-20,Event,Kickoff Meeting with Stakeholders,Meeting
W_Event.130,W_Account.4832,W_Opportunity.66587,W_Sales_User.10,2022-03-20,Event,Lead Qualification Call,Meeting
