Id,WhoId,WhatId,Subject,ActivityDate,Status,Priority,IsHighPriority,OwnerId,Description,IsDeleted,AccountId,IsClosed,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,CallDurationInSeconds,CallType,CallDisposition,CallObject,ReminderDateTime,IsReminderSet,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateOnly,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,RecurrenceRegeneratedType,TaskSubtype
00T3F00000NRjcgUAD,,0063F00000S60FdQAJ,"Inbound call on Wed, Jun 28, 2017 10:48 AM",2022-03-22,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUzLcQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjchUAD,,0063F00000S5zOFQAZ,Qualification Call,2022-03-14,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyhcQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjciUAD,,0063F00000S5zAcQAJ,Project Discovery Call,2022-04-22,Not Started,Normal,,0053F00000D3CCOQA3,,,0013F00000oUyXfQAK,,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcjUAD,,0063F00000S5zyfQAB,Email: Thank you for contacting Cirrus Customer Service!,2022-03-22,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUz8OQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjckUAD,,0063F00000S605KQAR,Email: Thank you for contacting Cirrus Customer Service!,2022-03-22,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUzDaQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjclUAD,,0063F00000S5zauQAB,Call Log,2022-03-22,Completed,Normal,,0053F00000D3CCPQA3,,,0013F00000oUyrQQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcmUAD,,0063F00000S5zbUQAR,Initial Call,2022-03-18,Completed,Normal,,0053F00000D3CCQQA3,,,0013F00000oUyrqQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcnUAD,,0063F00000S5zE1QAJ,Email: Thank you!,2022-03-22,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUya6QAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcoUAD,,0063F00000S5zx6QAB,Send Proposal and Pricing,2022-04-22,Not Started,Normal,,0053F00000D3CCNQA3,,,0013F00000oUz79QAC,,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcpUAD,,0063F00000S5zsDQAR,Qualification Call,2022-03-17,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUz3hQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcqUAD,,0063F00000S5zxgQAB,First Call Contact,2022-03-14,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUz7eQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcrUAD,,0063F00000S5zOzQAJ,Email: Thank you!,2022-03-18,Completed,Normal,,0053F00000D3CCOQA3,,,0013F00000oUyiCQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcsUAD,,0063F00000S5zQNQAZ,Lead Source Details,2022-03-22,Completed,Normal,,0053F00000D3CCOQA3,,,0013F00000oUyjEQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjctUAD,,0063F00000S5z74QAB,Lead Source Details,2022-03-21,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyV3QAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcuUAD,,0063F00000S5zaEQAR,Lead Source Details,2022-03-17,Completed,Normal,,0053F00000D3CCPQA3,,,0013F00000oUyqnQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcvUAD,,0063F00000S5z5BQAR,Lead Source Details,2022-03-18,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyTaQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcwUAD,,0063F00000S5z6fQAB,Lead Source Details,2022-03-04,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyUgQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcxUAD,,0063F00000S5zBzQAJ,Lead Source Details,2022-03-25,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyYhQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjcyUAD,,0063F00000S5zeuQAB,Lead Source Details,2022-03-25,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyuHQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjczUAD,,0063F00000S5zkwQAB,Lead Source Details,2022-02-22,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyyaQAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd0UAD,,0063F00000S5ztPQAR,Lead Source Details,2022-01-15,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUz4WQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd1UAD,,0063F00000S5zAiQAJ,Lead Source Details,2022-03-19,Completed,Normal,,0053F00000D3CCOQA3,,,0013F00000oUyXmQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd2UAD,,0063F00000S5z72QAB,Lead Source Details,2022-03-14,Completed,Normal,,0053F00000D3CCOQA3,,,0013F00000oUyV1QAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd3UAD,,0063F00000S5z8WQAR,Lead Source Details,2022-03-23,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyWCQA0,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd4UAD,,0063F00000S5z9SQAR,Lead Source Details,2022-03-24,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUyWrQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd5UAD,,0063F00000S60B1QAJ,Lead Source Details,2022-03-25,Completed,Normal,,0053F00000D3CCNQA3,,,0013F00000oUzHsQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd6UAD,,0063F00000S5zXGQAZ,Lead Source Details,2022-03-25,Completed,Normal,,0053F00000D3CCQQA3,,,0013F00000oUyoRQAS,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd7UAD,,0063F00000S5zZSQAZ,Lead Source Details,2022-03-25,Completed,Normal,,0053F00000D3CCPQA3,,,0013F00000oUyq3QAC,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
00T3F00000NRjd8UAD,,0063F00000S60FfQAJ,Lead Source Details,2022-03-24,Completed,Normal,,0053F00000D3CCPQA3,,,0013F00000oUzLeQAK,1,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,0053F00000D31WiQAJ,2022-04-05T14:39:37.000+0000,,,,,,,,,,,,,,,,,,,,Task
