Id,IsDeleted,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,IsSplit,Pricebook2Id,OwnerId,Territory2Id,IsExcludedFromTerritory2Filter,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,SyncedQuoteId,HasOpenActivity,HasOverdueTask
0068c00000qT6IqAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 5K,Great customer and this deal is looking good,Closed Lost,8000,0,3/26/21,New Business,prospect's spouse is married to vp at the competitor,Referral,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,
0068c00000qT6IrAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 8K,This deal is looking good so far.,Proposal/Price Quote,4000,75,10/2/21,New Business,Where do the decision makers stand?,Referral,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,
0068c00000qT6IsAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 30K,We really have to show value on this one. The customer is a tough sell with a small budget.,Closed Lost,5000,0,3/26/21,New Business,follow up in 6 months to see where they are,Cold Call,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,
0068c00000qT6ItAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 27K,"Great sales cycle, with our new product this is a great fit",Closed Lost,4000,0,2/14/21,Add-On Business,"Quote sent out, waiting for response",Cold Call,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,
0068c00000qT6IuAAK,,0018c00002GzxPAAAZ,United Wave* - 61K*,"This is a huge strategic opportunity.  United Wave sets up audio for large events, shows, and concerts.",Proposal/Price Quote,1000,75,8/8/21,Add-On Business,Identifying key decision makers and stakeholders.,Trade Show,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,5/10/20,3,2015,2015 3,1,,,,,,
0068c00000qT6IvAAK,,0018c00002GzxPAAAZ,United Wave* - 47K,Will give end of year incentive to sign,Closed Won,8000,100,5/25/21,Add-On Business,Sales presentation to the C-Levels scheduled next week,Google Adwords,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,
0068c00000qT6IwAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 49K*,Will give end of year incentive to sign,Qualification,49300,10,8/16/21,Add-On Business,Sign SOW,Trade Show,,,Pipeline,Pipeline,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,
0068c00000qT6IxAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 130K,We really have to show value on this one. The customer is a tough sell with a small budget.,Needs Analysis,130000,35,7/31/21,New Business,follow up in 6 months to see where they are,Cold Call,,,Pipeline,Pipeline,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,
0068c00000qT6IyAAK,,0018c00002GzxPAAAZ,United Wave* - 52K,"This is our first opportunity to establish a relationship with United Partners that we can build on in the coming years.  We are well-positioned to win, but we need to establish our credentials and experience in the industry.",Closed Won,52000,100,12/26/20,New Business,Finalize contracts.,Trade Show,1,1,Closed,Closed,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2014,2014 4,1,,,,,,
0068c00000qT6IzAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 20K,Potential big win for their decision maker,Closed Won,20000,100,2/24/21,Add-On Business,great win for us,Google Adwords,1,1,Closed,Closed,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,
