Id,IsDeleted,MasterRecordId,Name,LastName,FirstName,Salutation,Type,RecordTypeId,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,Website,PhotoUrl,Industry,AnnualRevenue,NumberOfEmployees,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,PersonContactId,IsPersonAccount,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonMailingAddress,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonOtherAddress,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonLastCURequestDate,PersonLastCUUpdateDate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,JigsawCompanyId,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0018c00002FHQVYAA5,,,Resourcesoft,,,,Corporate,0128c000002iLr7AAE,,64274 Evans Lane,East Scott,HI,,USA,,,,"{""city"":""East Scott"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""HI"",""street"":""64274 Evans Lane""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVYAA5,Entertainment,7271000,226,,0058c00000BTShRAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T01:59:56.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:34.000+0000,3/4/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Media,,,,,1989,,,
0018c00002FHQVZAA5,,,Cipient Networks Inc,,,,Corporate,0128c000002iLr7AAE,,5546 Rubio Cliff,East Tonya,AK,,USA,,,,"{""city"":""East Tonya"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""AK"",""street"":""5546 Rubio Cliff""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVZAA5,Utilities,6969000,84,,0058c00000BTShPAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:39.000+0000,3/23/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,,,1923,,,
0018c00002FHQVaAAP,,,Alvion Technologies,,,,Corporate,0128c000002iLr7AAE,,2970 Aaron Viaduct,Lake Katherine,NE,,USA,,,,"{""city"":""Lake Katherine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NE"",""street"":""2970 Aaron Viaduct""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVaAAP,Financial Services,9179000,197,,0058c00000BTSheAAH,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partner,,,,,1955,,,
0018c00002FHQVbAAP,,,Lone Star Circuits,,,,Corporate,0128c000002iLr7AAE,,50931 Gill Garden,Lake Thomas,CA,,USA,,,,"{""city"":""Lake Thomas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CA"",""street"":""50931 Gill Garden""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVbAAP,Healthcare & Life Sciences,9190000,98,,0058c00000BTShRAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T02:50:33.000+0000,2/22/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Event,,,,,1981,,,
0018c00002FHQVcAAP,,,e  bots Consulting Services,,,,Corporate,0128c000002iLr7AAE,,6248 Meagan Port,Oneillshire,HI,,USA,,,,"{""city"":""Oneillshire"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""HI"",""street"":""6248 Meagan Port""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVcAAP,Recreation,2499000,184,,0058c00000BTShPAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T02:50:25.000+0000,2/23/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data.com,,,,,1951,,,
0018c00002FHQVdAAP,,,Foreshock,,,,Corporate,0128c000002iLr7AAE,,006 Wendy Trafficway,Port Janiceburgh,NE,,USA,,,,"{""city"":""Port Janiceburgh"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NE"",""street"":""006 Wendy Trafficway""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVdAAP,Electronics,5284000,235,,0058c00000BTShdAAH,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,,,,,1976,,,
0018c00002FHQVeAAP,,,Cenquest,,,,Corporate,0128c000002iLr7AAE,,0434 Kayla Loop,North Michael,OH,,USA,,,,"{""city"":""North Michael"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""OH"",""street"":""0434 Kayla Loop""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVeAAP,Retail,9910000,138,,0058c00000BTShaAAH,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:36.000+0000,3/15/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partner,,,,,1931,,,
0018c00002FHQVfAAP,,,Aries Inc,,,,Corporate,0128c000002iLr7AAE,,2826 Santos Knoll,Chelsealand,AZ,,USA,,,,"{""city"":""Chelsealand"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""AZ"",""street"":""2826 Santos Knoll""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVfAAP,Hospitality,2169000,204,,0058c00000BTShPAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T01:59:56.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:36.000+0000,3/12/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,,,,,1911,,,
0018c00002FHQVgAAP,,,SmartPartner.com,,,,Corporate,0128c000002iLr7AAE,,2481 Joel Park,Port Tammymouth,IL,,USA,,,,"{""city"":""Port Tammymouth"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""IL"",""street"":""2481 Joel Park""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVgAAP,Machinery,2444000,207,,0058c00000BTShUAAX,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:29.000+0000,3/6/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Call,,,,,2001,,,
0018c00002FHQVhAAP,,,Coviant,,,,Corporate,0128c000002iLr7AAE,,5851 Caitlyn Underpass,Henrychester,IA,,USA,,,,"{""city"":""Henrychester"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""IA"",""street"":""5851 Caitlyn Underpass""}",,,,,,,,,,,,,/services/images/photo/0018c00002FHQVhAAP,Chemicals,5931000,84,,0058c00000BTShdAAH,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,0058c00000BTQK6AAP,2022-03-29T21:13:00.000+0000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Call,,,,,1907,,,
