Id,WhoId,WhatId,WhoCount,WhatCount,Subject,Location,IsAllDayEvent,ActivityDateTime,sfdx shane:org:create -f config/project-scratch-def.json -d 1 -s --userprefix einstein -o discovery.demo,DurationInMinutes,StartDateTime,EndDateTime,Description,AccountId,OwnerId,Type,IsPrivate,ShowAs,IsDeleted,IsChild,IsGroupEvent,GroupEventType,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateTime,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,ReminderDateTime,IsReminderSet,EventSubtype
00U8c00000gS9F7EAK,,0068c00000odXPfAAM,0,1,Project Planning Meeting,,,2022-03-22T04:00:00.000+0000,03/21/22,40,2022-03-22T04:00:00.000+0000,2022-03-22T04:40:00.000+0000,,0018c00002FHQcjAAH,0058c00000BTShdAAH,Call,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9F8EAK,,0068c00000odXIvAAM,0,1,Optos Inc.,,,2022-03-22T04:00:00.000+0000,03/21/22,9,2022-03-22T04:00:00.000+0000,2022-03-22T04:09:00.000+0000,,0018c00002FHQXfAAP,0058c00000BTShbAAH,Meeting,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9F9EAK,,0068c00000odXqoAAE,0,1,Heath Axworth,,,2022-03-22T04:00:00.000+0000,03/21/22,13,2022-03-22T04:00:00.000+0000,2022-03-22T04:13:00.000+0000,,0018c00002FHQx0AAH,0058c00000BTSheAAH,Call,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FAEA0,,0068c00000odY0rAAE,0,1,Deanna Collins,,,2022-03-22T04:00:00.000+0000,03/21/22,44,2022-03-22T04:00:00.000+0000,2022-03-22T04:44:00.000+0000,,0018c00002FHR4IAAX,0058c00000BTShWAAX,Call,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FBEA0,,0068c00000odY9tAAE,0,1,Russell Hartman,,,2022-03-22T04:00:00.000+0000,03/21/22,45,2022-03-22T04:00:00.000+0000,2022-03-22T04:45:00.000+0000,,0018c00002FHRAcAAP,0058c00000BTShPAAX,Call,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FCEA0,,0068c00000odXxuAAE,0,1,Towson Inc.,,,2022-03-22T04:00:00.000+0000,03/21/22,31,2022-03-22T04:00:00.000+0000,2022-03-22T04:31:00.000+0000,,0018c00002FHR2BAAX,0058c00000BTShaAAH,Call,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FDEA0,,0068c00000odYAOAA2,0,1,Meeting with Decision Makers,,,2022-03-27T04:00:00.000+0000,03/26/22,65,2022-03-27T04:00:00.000+0000,2022-03-27T05:05:00.000+0000,,0018c00002FHRAvAAP,0058c00000BTShfAAH,Meeting,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FEEA0,,0068c00000odXTIAA2,0,1,Discovery Meeting,,,2022-03-24T04:00:00.000+0000,03/23/22,44,2022-03-24T04:00:00.000+0000,2022-03-24T04:44:00.000+0000,,0018c00002FHQfOAAX,0058c00000BTSheAAH,Meeting,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:22.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FFEA0,,0068c00000odY9VAAU,0,1,Quarterly Review,,,2022-03-24T04:00:00.000+0000,03/23/22,18,2022-03-24T04:00:00.000+0000,2022-03-24T04:18:00.000+0000,,0018c00002FHRARAA5,0058c00000BTShUAAX,Meeting,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,,,,,,,,,,,,,,,Event
00U8c00000gS9FGEA0,,0068c00000odXVxAAM,0,1,Investigate Open Case,,,2022-03-23T04:00:00.000+0000,03/22/22,29,2022-03-23T04:00:00.000+0000,2022-03-23T04:29:00.000+0000,,0018c00002FHQhFAAX,0058c00000BTShUAAX,Other,,Busy,,,,,2022-03-30T02:59:20.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,0058c00000BTQK6AAP,2022-03-30T02:59:21.000+0000,,,,,,,,,,,,,,,Event
