Id,IsDeleted,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,IsSplit,Pricebook2Id,OwnerId,Territory2Id,IsExcludedFromTerritory2Filter,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,SyncedQuoteId,HasOpenActivity,HasOverdueTask,DB_Days__c,external_id__c,Stalled_Opportunity__c
0068c00000qT6IqAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 5K,Great customer and this deal is looking good,Closed Lost,8000,0,2021-03-26,New Business,prospect's spouse is married to vp at the competitor,Referral,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-120,Opportunity.009,
0068c00000qT6IrAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 8K,This deal is looking good so far.,Proposal/Price Quote,4000,75,2021-10-02,New Business,Where do the decision makers stand?,Referral,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,70,Opportunity.006,
0068c00000qT6IsAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 30K,We really have to show value on this one. The customer is a tough sell with a small budget.,Closed Lost,5000,0,2021-03-26,New Business,follow up in 6 months to see where they are,Cold Call,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-120,Opportunity.004,
0068c00000qT6ItAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 27K,"Great sales cycle, with our new product this is a great fit",Closed Lost,4000,0,2021-02-14,Add-On Business,"Quote sent out, waiting for response",Cold Call,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-160,Opportunity.010,
0068c00000qT6IuAAK,,0018c00002GzxPAAAZ,United Wave* - 61K*,"This is a huge strategic opportunity.  United Wave sets up audio for large events, shows, and concerts.",Proposal/Price Quote,1000,75,2021-08-08,Add-On Business,Identifying key decision makers and stakeholders.,Trade Show,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,2020-05-10,3,2015,2015 3,1,,,,,,,15,Opportunity.001,
0068c00000qT6IvAAK,,0018c00002GzxPAAAZ,United Wave* - 47K,Will give end of year incentive to sign,Closed Won,8000,100,2021-05-25,Add-On Business,Sales presentation to the C-Levels scheduled next week,Google Adwords,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,-60,Opportunity.002,
0068c00000qT6IwAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 49K*,Will give end of year incentive to sign,Qualification,49300,10,2021-08-16,Add-On Business,Sign SOW,Trade Show,,,Pipeline,Pipeline,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,23,Opportunity.007,
0068c00000qT6IxAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 130K,We really have to show value on this one. The customer is a tough sell with a small budget.,Needs Analysis,130000,35,2021-07-31,New Business,follow up in 6 months to see where they are,Cold Call,,,Pipeline,Pipeline,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,7,Opportunity.011,
0068c00000qT6IyAAK,,0018c00002GzxPAAAZ,United Wave* - 52K,"This is our first opportunity to establish a relationship with United Partners that we can build on in the coming years.  We are well-positioned to win, but we need to establish our credentials and experience in the industry.",Closed Won,52000,100,2020-12-26,New Business,Finalize contracts.,Trade Show,1,1,Closed,Closed,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2014,2014 4,1,,,,,,,-210,Opportunity.003,
0068c00000qT6IzAAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 20K,Potential big win for their decision maker,Closed Won,20000,100,2021-02-24,Add-On Business,great win for us,Google Adwords,1,1,Closed,Closed,,,,,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-150,Opportunity.008,
0068c00000qT6J0AAK,,0018c00002GzxPPAAZ,Data Mart - 7K,Potential big win for their decision maker,Prospecting,2000,10,2022-06-22,New Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2016,2016 2,1,,,,,,,333,,
0068c00000qT6J1AAK,,0018c00002GzxPPAAZ,Data Mart - 37K,This deal is not a great fit but next month we should be able to meet their  needs,Closed Won,2000,100,2020-12-18,Add-On Business,great win for us,Trade Show,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2014,2014 4,1,,,,,,,-218,,
