Id,WhoId,WhatId,WhoCount,WhatCount,Subject,ActivityDate,Status,Priority,IsHighPriority,OwnerId,Description,Type,IsDeleted,AccountId,IsClosed,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,CallDurationInSeconds,CallType,CallDisposition,CallObject,ReminderDateTime,IsReminderSet,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateOnly,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,RecurrenceRegeneratedType,TaskSubtype
00T8c00003S69UIEAZ,0038c00002jgbCwAAI,0018c00002GzxPDAAZ,1,1,Discovery call,07/29/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69ULEAZ,0038c00002jgbCrAAI,0018c00002GzxPDAAZ,1,1,Review Case,07/27/21,Not Started,High,1,0058c00000BxzHhAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UQEAZ,00Q8c0000113yK9EAI,,1,0,New Lead Assigned to you. Follow up within 24 Hours,07/24/21,Not Started,High,1,0058c00000BxzHjAAJ,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UREAZ,00Q8c0000113yKAEAY,,1,0,New Lead Assigned to you. Follow up within 24 Hours,07/24/21,Not Started,High,1,0058c00000BxzHjAAJ,A new lead has been assigned to you please follow-up within 24 hours.,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UVEAZ,00Q8c0000113yK3EAI,,1,0,Follow up with Lead,08/07/21,Not Started,Normal,,0058c00000BxzHjAAJ,Please follow up on lead.,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UcEAJ,0038c00002jgbCxAAI,0018c00002GzxPcAAJ,1,1,Send out pricing proposal,07/29/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPcAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UjEAJ,0038c00002jgbD1AAI,0018c00002GzxPxAAJ,1,1,Follow up,07/31/21,Not Started,Normal,,0058c00000BxzHhAAJ,check results from solution,,,0018c00002GzxPxAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69UwEAJ,0038c00002jgbClAAI,0018c00002GzxPAAAZ,1,1,Support Call with: James Davie*,07/24/21,In Progress,High,1,0058c00000BxzHhAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VJEAZ,0038c00002jgbChAAI,0018c00002GzxPAAAZ,1,1,Client Call - Attempt,07/24/21,In Progress,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VNEAZ,0038c00002jgbCiAAI,0018c00002GzxPBAAZ,1,1,Go over Updated Sales Presentation,,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPBAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VVEAZ,0038c00002jgbDHAAY,0018c00002GzxPBAAZ,1,1,Lead Follow Up - Tradeshow,07/31/21,Not Started,Normal,,0058c00000BxzHkAAJ,Follow Up with Adam about potential leads from their most recent tradeshow.,,,0018c00002GzxPBAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VaEAJ,0038c00002jgbDIAAY,0018c00002GzxQ7AAJ,1,1,Deal Discussion,08/04/21,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxQ7AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VbEAJ,0038c00002jgbDIAAY,0018c00002GzxQ7AAJ,1,1,Follow up to my message,08/02/21,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxQ7AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VdEAJ,,0018c00002GzxPAAAZ,0,1,Manager deal update,07/26/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPAAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VeEAJ,,0018c00002GzxPDAAZ,0,1,Follow up to my message,07/27/21,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VgEAJ,,0018c00002GzxQ8AAJ,0,1,Send new pricing,07/27/21,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ8AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VhEAJ,,0018c00002GzxPDAAZ,0,1,Follow up on status,07/25/21,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VkEAJ,,0018c00002GzxPRAAZ,0,1,Sales Presentation Follow Up,08/06/21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VlEAJ,,0018c00002GzxPXAAZ,0,1,Manager deal update,08/06/21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPXAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VnEAJ,,0018c00002GzxPRAAZ,0,1,Needs document from Prospect,08/04/21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VqEAJ,,0018c00002GzxPRAAZ,0,1,Needs list from Prospect,08/02/21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VrEAJ,,0018c00002GzxPRAAZ,0,1,Product demo with team,08/21/21,Not Started,Normal,,0058c00000BxzHjAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VsEAJ,,0018c00002GzxPRAAZ,0,1,Sales Presentation Today,08/04/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VtEAJ,,0018c00002GzxPQAAZ,0,1,Send Thank You,08/03/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VuEAJ,,0018c00002GzxPRAAZ,0,1,Notes from discussion,08/25/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VvEAJ,,0018c00002GzxPRAAZ,0,1,Prep Sales Presentation,08/19/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VyEAJ,,0018c00002GzxPRAAZ,0,1,Negotiate Terms,08/23/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69VzEAJ,,0018c00002GzxPRAAZ,0,1,Call,08/21/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69W0EAJ,,0018c00002GzxPQAAZ,0,1,Call to schedule sales presentation,08/02/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69W1EAJ,,0018c00002GzxPVAAZ,0,1,Schedule Negotiation Call,07/27/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPVAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69W2EAJ,,0018c00002GzxPWAAZ,0,1,Schedule Discovery Call,07/25/21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPWAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69W8EAJ,,0018c00002GzxPEAAZ,0,1,Needs list from Prospect,07/27/21,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPEAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69W9EAJ,,0018c00002GzxPsAAJ,0,1,Sales call with VP Marketing,07/29/21,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPsAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
00T8c00003S69WAEAZ,,0018c00002GzxPsAAJ,0,1,Work on RFP,08/06/21,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPsAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task
