Id,WhoId,WhatId,Subject,Location,IsAllDayEvent,ActivityDateTime,ActivityDate,DurationInMinutes,StartDateTime,EndDateTime,Description,AccountId,OwnerId,IsPrivate,ShowAs,IsDeleted,IsChild,IsGroupEvent,GroupEventType,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateTime,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,ReminderDateTime,IsReminderSet,EventSubtype
00U3F000002rIYNUA2,,0063F00000S5zAdQAJ,Project Planning Meeting,,,2022-03-22T04:00:00.000+0000,2022-03-21,60,2022-03-22T04:00:00.000+0000,2022-03-22T05:00:00.000+0000,,0013F00000oUyXhQAK,0053F00000D3CCOQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYOUA2,,0063F00000S5z3rQAB,Optos Inc.,,,2022-03-22T04:00:00.000+0000,2022-03-21,120,2022-03-22T04:00:00.000+0000,2022-03-22T06:00:00.000+0000,,0013F00000oUySdQAK,0053F00000D3CCOQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYPUA2,,0063F00000S5zbnQAB,Heath Axworth,,,2022-03-22T04:00:00.000+0000,2022-03-21,100,2022-03-22T04:00:00.000+0000,2022-03-22T05:40:00.000+0000,,0013F00000oUys3QAC,0053F00000D3CCNQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYQUA2,,0063F00000S5zluQAB,Deanna Collins,,,2022-03-22T04:00:00.000+0000,2022-03-21,20,2022-03-22T04:00:00.000+0000,2022-03-22T04:20:00.000+0000,,0013F00000oUyzLQAS,0053F00000D3CCPQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYRUA2,,0063F00000S5zv1QAB,Russell Hartman,,,2022-03-22T04:00:00.000+0000,2022-03-21,30,2022-03-22T04:00:00.000+0000,2022-03-22T04:30:00.000+0000,,0013F00000oUz5eQAC,0053F00000D3CCNQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYSUA2,,0063F00000S5zixQAB,Towson Inc.,,,2022-03-22T04:00:00.000+0000,2022-03-21,30,2022-03-22T04:00:00.000+0000,2022-03-22T04:30:00.000+0000,,0013F00000oUyxEQAS,0053F00000D3CCNQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYTUA2,,0063F00000S5zvWQAR,Meeting with Decision Makers,,,2022-03-27T04:00:00.000+0000,2022-03-26,110,2022-03-27T04:00:00.000+0000,2022-03-27T05:50:00.000+0000,,0013F00000oUz5xQAC,0053F00000D3CCQQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYUUA2,,0063F00000S5zEJQAZ,Discovery Meeting,,,2022-03-24T04:00:00.000+0000,2022-03-23,20,2022-03-24T04:00:00.000+0000,2022-03-24T04:20:00.000+0000,,0013F00000oUyaMQAS,0053F00000D3CCNQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYVUA2,,0063F00000S5zudQAB,Quarterly Review,,,2022-03-24T04:00:00.000+0000,2022-03-23,20,2022-03-24T04:00:00.000+0000,2022-03-24T04:20:00.000+0000,,0013F00000oUz5TQAS,0053F00000D3CCQQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
00U3F000002rIYWUA2,,0063F00000S5zGyQAJ,Investigate Open Case,,,2022-03-23T04:00:00.000+0000,2022-03-22,50,2022-03-23T04:00:00.000+0000,2022-03-23T04:50:00.000+0000,,0013F00000oUycDQAS,0053F00000D3CCNQA3,,Busy,,,,,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,0053F00000D31WiQAJ,2022-04-05T14:34:14.000+0000,,,,,,,,,,,,,,,Event
