Total records in input: 14004

Successes: 2
Failures: 3674

Failure Results:

Object   Original ID         Error Message
───────  ──────────────────  ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Account  0018c00002FHQVYAA5  Duplicate Alert
Account  0018c00002FHQVZAA5  Duplicate Alert
Account  0018c00002FHQVaAAP  Duplicate Alert
Account  0018c00002FHQVbAAP  Duplicate Alert
Account  0018c00002FHQVcAAP  Duplicate Alert
Account  0018c00002FHQVdAAP  Duplicate Alert
Account  0018c00002FHQVeAAP  Duplicate Alert
Account  0018c00002FHQVfAAP  Duplicate Alert
Account  0018c00002FHQVgAAP  Duplicate Alert
Account  0018c00002FHQVhAAP  Duplicate Alert
Account  0018c00002FHQViAAP  Duplicate Alert
Account  0018c00002FHQVjAAP  Duplicate Alert
Account  0018c00002FHQVkAAP  Duplicate Alert
Account  0018c00002FHQVlAAP  Duplicate Alert
Account  0018c00002FHQVmAAP  Duplicate Alert
Account  0018c00002FHQVnAAP  Duplicate Alert
Account  0018c00002FHQVoAAP  Duplicate Alert
Account  0018c00002FHQVpAAP  Duplicate Alert
Account  0018c00002FHQVqAAP  Duplicate Alert
Account  0018c00002FHQVrAAP  Duplicate Alert
Account  0018c00002FHQVsAAP  Duplicate Alert
Account  0018c00002FHQVtAAP  Duplicate Alert
Account  0018c00002FHQVuAAP  Duplicate Alert
Account  0018c00002FHQVvAAP  Duplicate Alert
Account  0018c00002FHQVwAAP  Duplicate Alert
Account  0018c00002FHQVxAAP  Duplicate Alert
Account  0018c00002FHQVyAAP  Duplicate Alert
Account  0018c00002FHQVzAAP  Duplicate Alert
Account  0018c00002FHQW0AAP  Duplicate Alert
Account  0018c00002FHQW1AAP  Duplicate Alert
Account  0018c00002FHQW2AAP  Duplicate Alert
Account  0018c00002FHQW3AAP  Duplicate Alert
Account  0018c00002FHQW4AAP  Duplicate Alert
Account  0018c00002FHQW5AAP  Duplicate Alert
Account  0018c00002FHQW6AAP  Duplicate Alert
Account  0018c00002FHQW7AAP  Duplicate Alert
