Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,ProductId,EntitlementId,SourceId,BusinessHoursId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,IsVisibleInSelfService,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,HasCommentsUnreadByOwner,HasSelfServiceComments,OwnerId,IsClosedOnCreate,IsSelfServiceClosed,SlaStartDate,SlaExitDate,IsStopped,StopStartDate,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,MilestoneStatus
5003F0000091LcPQAU,,00001394,,0013F00000oUyfJQAS,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,How do I change my password?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcQQAU,,00001395,,0013F00000oUz7lQAC,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,Where do I submit a product suggestion?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcRQAU,,00001396,,0013F00000oUyU7QAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Waiting on Customer,,,1,I have a question about my bill,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcSQAU,,00001397,,0013F00000oUyXvQAK,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,Monitor rebooting overnight,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-03-24T22:07:50.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcTQAU,,00001398,,0013F00000oUyi3QAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,Configuration is broken,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-03-24T22:07:50.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcUQAU,,00001399,,0013F00000oUz07QAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,Researching,,,1,Issue with remote control,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-03-24T22:07:50.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcVQAU,,00001400,,0013F00000oUygSQAS,,,,,01m3F000000IpppQAC,,,,,,Wire Transfer,Closed,,,1,Wire Transfer - $20K,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-03-24T22:07:50.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcWQAU,,00001401,,0013F00000oUykhQAC,,,,,01m3F000000IpppQAC,,,,,,Billing Issue,Escalated,,,1,Where do I send my check?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-03-24T22:07:50.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcXQAU,,00001402,,0013F00000oUypnQAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,New,,,1,How do I extend my product warranty?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcYQAU,,00001403,,0013F00000oUyt7QAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,Escalated,,,1,Email troubleshooting,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
