Id,IsDeleted,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask
0063F00000S5z0vQAB,,0013F00000oUyQYQA0,Alvion Technologies 32,,Closed Won,90000,100,2020-08-31,Existing Business,,Fields Sales,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z0yQAB,,0013F00000oUyQbQAK,Foreshock 86,,Closed Won,145000,100,2021-08-08,Existing Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z11QAB,,0013F00000oUyQeQAK,SmartPartner.com 148,,Closed Lost,42857,0,2020-08-26,Add-On Business,,Fields Sales,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z13QAB,,0013F00000oUyQfQAK,Coviant 161,,Closed Lost,10000,0,2021-10-20,Add-On Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2021,2021 4,,,,
0063F00000S5z18QAB,,0013F00000oUyQkQAK,Emulex Corp. / Bothell Facility Corp. 240,,Closed Lost,116279,0,2020-08-30,Add-On Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1BQAR,,0013F00000oUyQnQAK,Payment Plus 28,,Closed Won,15501,100,2020-11-23,New Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z1EQAR,,0013F00000oUyQoQAK,Connections for Business 45,,Closed Lost,10000,0,2020-12-02,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z1HQAR,,0013F00000oUyQoQAK,Connections for Business 65,,Negotiation,24000,0,2022-05-16,Existing Business,,Telesales,,,Forecast,Commit,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z1KQAR,,0013F00000oUyQpQAK,Greenleaf Produce 106,,Closed Lost,240270,0,2021-06-07,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2021,2021 2,,,,
0063F00000S5z1NQAR,,0013F00000oUyQrQAK,Education Interface 165,,Closed Lost,4000,0,2020-12-02,Existing Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z1aQAB,,0013F00000oUyQzQAK,Millennium Hotels & Resorts 107,,Closed Won,46000,100,2020-08-30,Add-On Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1cQAB,,0013F00000oUyR1QAK,Atofina Petrochemicals   Port Arthur 143,,Proposal/Quote,189,0,2022-05-23,New Business,,Reseller,,,BestCase,Best Case,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z1hQAB,,0013F00000oUyR5QAK,Quality Resource Assoc 207,,Closed Won,24616,100,2022-04-20,Add-On Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z1iQAB,,0013F00000oUyR6QAK,Product Development Consulting 215,,Closed Lost,7361,0,2020-09-03,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1kQAB,,0013F00000oUyR6QAK,Product Development Consulting 222,,Closed Lost,9690,0,2020-08-31,Existing Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1lQAB,,0013F00000oUyR7QAK,Golden Key International Honour Society 231,,Closed Lost,50000,0,2020-08-29,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1mQAB,,0013F00000oUyR8QAK,Gemco  Ware 251,,Closed Lost,46504,0,2020-08-05,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z1nQAB,,0013F00000oUyR9QAK,The Surfside Group 255,,Closed Lost,250023,0,2021-08-27,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z1oQAB,,0013F00000oUyR9QAK,The Surfside Group 4,,Closed Lost,32894,0,2020-11-26,Existing Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z1qQAB,,0013F00000oUyRAQA0,Oklahoma Department of Commerce 23,,Closed Lost,50000,0,2021-03-06,Add-On Business,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
